"Familia","Binomio","N. Fontes","Flora e Funga do Brasil, 2014","Cardoso et all, 2017","Arieira et all, 2021","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_searchNotes","fb2020_taxonID","fb2020_acceptedNameUsageID","fb2020_scientificName","fb2020_taxonRank","fb2020_scientificNameAuthorship","fb2020_taxonomicStatus","fb2020_nomenclaturalStatus","fb2020_scientificNamewithoutAuthorship","fb2020_searchNotes","categoria_Ameaca_Portaria_443"
"Fabaceae","Dipteryx charapilla",2,1,,1,2772315,"Species","Accepted","Fabaceae","Dipteryx charapilla","(J.F.Macbr.) Ducke",2772315,"Y","Dipteryx charapilla",,,,"Accepted",106733,,"Dipteryx charapilla (J.F.Macbr.) Ducke","ESPECIE","(J.F.Macbr.) Ducke","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","Dipteryx charapilla","NOME_ACEITO",
"Fabaceae","Dipteryx ferrea",2,1,,1,2772319,"Species","Accepted","Fabaceae","Dipteryx ferrea","(Ducke) Ducke",2772319,"Y","Dipteryx ferrea",,,,"Accepted",22953,,"Dipteryx ferrea (Ducke) Ducke","ESPECIE","(Ducke) Ducke","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","Dipteryx ferrea","NOME_ACEITO",
"Fabaceae","Dipteryx lacunifera",1,,,1,2772320,"Species","Accepted","Fabaceae","Dipteryx lacunifera","Ducke",2772320,"Y","Dipteryx lacunifera",,,,"Accepted",83123,,"Dipteryx lacunifera Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Dipteryx lacunifera","NOME_ACEITO",
"Fabaceae","Dipteryx magnifica",2,1,,1,2872978,"Species","Accepted","Fabaceae","Dipteryx magnifica","(Ducke) Ducke",2872978,"Y","Dipteryx magnifica",,,,"Accepted",83125,,"Dipteryx magnifica (Ducke) Ducke","ESPECIE","(Ducke) Ducke","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","Dipteryx magnifica","NOME_ACEITO",
"Fabaceae","Dipteryx micrantha",2,1,,1,2772321,"Species","Accepted","Fabaceae","Dipteryx micrantha","Harms",2772321,"Y","Dipteryx micrantha",,,,"Accepted",83126,,"Dipteryx micrantha Harms","ESPECIE","Harms","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","Dipteryx micrantha","NOME_ACEITO",
"Fabaceae","Dipteryx odorata",2,1,,1,2772323,"Species","Accepted","Fabaceae","Dipteryx odorata","(Aubl.) Forsyth f.",2772323,"Y","Dipteryx odorata",,,,"Accepted",22954,,"Dipteryx odorata (Aubl.) Forsyth f.","ESPECIE","(Aubl.) Forsyth f.","NOME_ACEITO","NOME_CORRETO","Dipteryx odorata","NOME_ACEITO",
"Fabaceae","Dipteryx polyphylla",2,1,,1,2772330,"Species","Accepted","Fabaceae","Dipteryx polyphylla","Huber",2772330,"Y","Dipteryx polyphylla",,,,"Accepted",83129,,"Dipteryx polyphylla Huber","ESPECIE","Huber","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","Dipteryx polyphylla","NOME_ACEITO",
"Fabaceae","Dipteryx punctata",2,1,,1,2772333,"Species","Accepted","Fabaceae","Dipteryx punctata","(S.F.Blake) Amshoff",2772333,"Y","Dipteryx punctata",,,,"Accepted",83130,,"Dipteryx punctata (S.F. Blake) Amshoff","ESPECIE","(S.F. Blake) Amshoff","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","Dipteryx punctata","NOME_ACEITO",
"Fabaceae","Dipteryx rosea",2,1,,1,2772336,"Species","Accepted","Fabaceae","Dipteryx rosea","Spruce ex Benth.",2772336,"Y","Dipteryx rosea",,,,"Accepted",83131,,"Dipteryx rosea Spruce ex Benth.","ESPECIE","Spruce ex Benth.","NOME_ACEITO","NOME_CORRETO_VIA_CONSERVACAO","Dipteryx rosea","NOME_ACEITO",
"Fabaceae","Diptychandra aurantiaca",1,,,1,2772339,"Species","Accepted","Fabaceae","Diptychandra aurantiaca","(Mart.) Tul.",2772339,"Y","Diptychandra aurantiaca",,,,"Accepted",83136,,"Diptychandra aurantiaca Tul.","ESPECIE","Tul.","NOME_ACEITO","NOME_CORRETO","Diptychandra aurantiaca","NOME_ACEITO",
"Fabaceae","Dussia discolor",2,1,,1,2779478,"Species","Accepted","Fabaceae","Dussia discolor","(Benth.) Amshoff",2779478,"Y","Dussia discolor",,,,"Accepted",83142,,"Dussia discolor (Benth.) Amshoff","ESPECIE","(Benth.) Amshoff","NOME_ACEITO","NOME_CORRETO","Dussia discolor","NOME_ACEITO",
"Fabaceae","Dussia tessmannii",2,1,,1,2779487,"Species","Accepted","Fabaceae","Dussia tessmannii","Harms",2779487,"Y","Dussia tessmannii",,,,"Accepted",22956,,"Dussia tessmannii Harms","ESPECIE","Harms","NOME_ACEITO","NOME_CORRETO","Dussia tessmannii","NOME_ACEITO",
"Fabaceae","Elizabetha duckei",1,1,,,3237107,"Species","Accepted","Fabaceae","Paloue duckei","(Huber) Redden",3237107,"Y","Elizabetha duckei","Synonym","2787613","Huber","Updated",83149,,"Elizabetha duckei Huber","ESPECIE","Huber","NOME_ACEITO","NOME_CORRETO","Elizabetha duckei","NOME_ACEITO",
"Fabaceae","Elizabetha durissima",1,1,,,3237097,"Species","Accepted","Fabaceae","Paloue durissima","(Ducke) Redden",3237097,"Y","Elizabetha durissima","Synonym","2787614","Ducke","Updated",78692,,"Elizabetha durissima Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Elizabetha durissima","NOME_ACEITO",
"Fabaceae","Elizabetha leiogyne",1,1,,,3237121,"Species","Accepted","Fabaceae","Paloue leiogyne","(Ducke) Redden",3237121,"Y","Elizabetha leiogyne","Synonym","2787617","Ducke","Updated",78693,,"Elizabetha leiogyne Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Elizabetha leiogyne","NOME_ACEITO",
"Fabaceae","Elizabetha macrostachya",1,1,,,3237122,"Species","Accepted","Fabaceae","Paloue macrostachya","(Benth.) Redden",3237122,"Y","Elizabetha macrostachya","Synonym","2787618","Benth.","Updated",83151,,"Elizabetha macrostachya Benth.","ESPECIE","Benth.","NOME_ACEITO","NOME_CORRETO","Elizabetha macrostachya","NOME_ACEITO",
"Fabaceae","Elizabetha paraensis",1,1,,,3237104,"Species","Accepted","Fabaceae","Paloue paraensis","(Ducke) Redden",3237104,"Y","Elizabetha paraensis","Synonym","2787620","Ducke","Updated",78694,,"Elizabetha paraensis Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Elizabetha paraensis","NOME_ACEITO",
"Fabaceae","Elizabetha princeps",1,1,,,3237105,"Species","Accepted","Fabaceae","Paloue princeps","(R.H.Schomb. ex Benth.) Redden",3237105,"Y","Elizabetha princeps","Synonym","2787621","R.H.Schomb. ex Benth.","Updated",83152,,"Elizabetha princeps R.H.Schomb. ex Benth.","ESPECIE","R.H.Schomb. ex Benth.","NOME_ACEITO","NOME_CORRETO","Elizabetha princeps","NOME_ACEITO",
"Fabaceae","Elizabetha speciosa",1,1,,,3237106,"Species","Accepted","Fabaceae","Paloue speciosa","(Ducke) Redden",3237106,"Y","Elizabetha speciosa","Synonym","2787622","Ducke","Updated",78695,,"Elizabetha speciosa Ducke","ESPECIE","Ducke","NOME_ACEITO","NOME_CORRETO","Elizabetha speciosa","NOME_ACEITO",
"Fabaceae","Entada polyphylla",1,1,,,2789483,"Species","Accepted","Fabaceae","Entada polyphylla","Benth.",2789483,"Y","Entada polyphylla",,,,"Accepted",22960,,"Entada polyphylla Benth.","ESPECIE","Benth.","NOME_ACEITO","NOME_CORRETO","Entada polyphylla","NOME_ACEITO",
