"traitID","unitOfMeasure","methodsID","value","family","species","sourceID","initialYearSampling","initialMonthSampling","initialDaySampling","finalYearSampling","finalMonthSampling","finalDaySampling","seasons","weatherAnomaly","lifeStage","country","stateProvince","municipality","localidade","decimalLatitude","decimalLongitude","altitude","typeVegatation","notes"
"VD","","","300.5","Fabaceae","Chamaecrista xinguensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VD","","","1314","Rubiaceae","Coussarea albescens","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VD","","","594.3","Humiriaceae","Endopleura uchi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"VD","","","391.7","Vochysiaceae","Erisma unsinatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VD","","",,"Sapotaceae","Manilkara huberi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VD","","","992.1","Lauraceae","Mezilaurus itauba","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"VD","","","1337.1","Melastomataceae","Miconia lepidota","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VD","","",,"Olacaceae","Minquartia guianensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:NA"
"VD","","","956.1","Burseraceae","Protium apiculatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"VD","","","909.4","Violaceae","Rinourea passourea","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"VD","","",,"Fabaceae","Tachigali chrysophylla","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"VA","","","7.1","Violaceae","Amphyrrhox longifolia","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
