"Longtitude","Latitude","site.name","family","species.name","p12","p50","p88","ECC_local","P","mcwd","ECC_basin","wtd"
"-59.25183021","-1.781124875","AM-REBI","Malvaceae","Quararibea ochrocalyx","0.22","1.9","7.87","1.35","4.09","-95.8","0.46","-2.02944994"
"-59.26959665","-1.781109733","AM-REBI","Myrtaceae","Eugenia patrisii","1.65","3.9","6.89","5.67","1.59","-95.8","0.46","-5.66109705"
"-59.26959269","-1.78122732","AM-REBI","Fabaceae","Inga sp.","2.89","4.51","6.06","5.67","1.59","-95.8","0.46","-5.66109705"
"-59.26957131","-1.781320836","AM-REBI","Burseraceae","Tetragastris altissima","0.77","2.37","5.01","5.67","1.59","-95.8","0.46","-7.492179871"
"-59.2515866","-1.781166505","AM-REBI","Violaceae","Guarea kunthiana","0.33","2.8","10","5.67","1.59","-95.8","0.46","-2.02944994"
"-59.25145244","-1.781249498","AM-REBI","Malvaceae","Theobroma microcarpum","0.08","0.94","4.71","1.35","4.09","-95.8","0.46","-2.02944994"
"-59.25138675","-1.78096883","AM-REBI","Malvaceae","Theobroma microcarpum","0.34","1.3","3.16","1.35","4.09","-95.8","0.46","-2.02944994"
"-59.25151907","-1.780754955","AM-REBI","Malvaceae","Theobroma microcarpum","0.51","2.26","6.04","1.35","4.09","-95.8","0.46","-2.02944994"
"-59.26056413","-1.781427539","AM-REBI","Lecythidaceae","Eschweilera sp.","0.29","2.65","10","4.56","1.81","-95.8","0.46","-16.05249023"
"-59.26046635","-1.781592321","AM-REBI","Myrtaceae","Eugenia patrisii","0.22","1.93","8.09","4.56","1.81","-95.8","0.46","-16.05249023"
"-59.26020127","-1.781784322","AM-REBI","Moraceae","Naucleopsis ulei","0.2","1.85","7.97","4.56","1.81","-95.8","0.46","-16.05249023"
"-59.26029515","-1.781770385","AM-REBI","Moraceae","Naucleopsis ulei","1.48","4.79","10","4.56","1.81","-95.8","0.46","-16.05249023"
"-59.26056055","-1.781526348","AM-REBI","Lecythidaceae","Eschweilera pedicellata","0.15","1.75","8.91","4.56","1.81","-95.8","0.46","-16.05249023"
"-59.26060742","-1.781380214","AM-REBI","Myrtaceae","Eugenia patrisii","0.15","1.64","7.94","4.56","1.81","-95.8","0.46","-16.05249023"
"-59.26001674","-1.781814777","AM-REBI","Lecythidaceae","Eschweilera pedicellata","0.34","1.91","5.98","4.56","1.81","-95.8","0.46","-16.05249023"
"-59.2697545","-1.799630919","AM-REBI","Burseraceae","Protium nitidifolium","0.19","0.19","0.2","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.2697318","-1.79972717","AM-REBI","Fabaceae","Inga melinonis","0.02","0.28","2.01","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.26978374","-1.799770713","AM-REBI","Fabaceae","Inga melinonis","0.02","0.26","1.36","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.26972624","-1.799846395","AM-REBI","Meliaceae","Guarea kunthiana","0.34","1.86","5.74","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.26973824","-1.799844521","AM-REBI","Meliaceae","Guarea humaitensis","0.17","1.44","5.82","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.26974984","-1.799888044","AM-REBI","Moraceae","Perebea guianensis","0.27","0.28","0.29","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.26980509","-1.799927645","AM-REBI","Fabaceae","Inga edulis","0.76","0.81","0.85","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.26976608","-1.799952627","AM-REBI","Burseraceae","Protium apiculatum","0.03","0.46","2.87","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.26980672","-1.799945052","AM-REBI","Moraceae","Perebea guianensis","0.19","1.82","8.05","1.72","2.05","-95.8","0.46","-5.68E-14"
"-59.26979597","-1.800016119","AM-REBI","Meliaceae","Carapa guianensis","0.28","0.68","1.22","1.72","2.05","-95.8","0.46","-5.68E-14"
